x,y,elev,slope,aspect,ndvi,bio,sm,tem,pre,lst
82.3762,31.7825,4807,0.405136,135,0.1236,629.343,2241,-2.2333333333333334,810,4.238
89.924,31.7834,4592,0.793152,320.128,0.1305,975.692,2251,0.6,4490,0
83.8303,31.7939,4946,1.62383,115.322,0.1554,528.704,2472,-2.591666666666667,901,0
86.4145,31.796,4655,0.125283,149.036,0.1869,767.775,2610,0.625,1768,29.136000000000003
79.0022,31.7985,4591,18.6382,283.743,0.2038,919.223,2163,-3.3916666666666666,3299,0
83.7023,31.8051,4674,1.8158,115.454,0.1161,393.834,2169,-0.38333333333333336,904,29.35
81.7848,31.8076,4831,2.85962,142.729,0.1217,573.08,2298,-2.033333333333333,801,0
82.7435,31.8082,5298,5.3667,334.799,0.1951,758.704,2046,-6.616666666666667,748,28.794
86.1386,31.8197,4773,0.0648544,96.3402,0.1308,679.339,2276,-0.7416666666666667,1584,29.4
83.297,31.8528,4739,0.571594,232.125,0.0904,397.873,2256,-1.2666666666666666,779,10.844
86.4884,31.8649,4671,0.561546,185.856,0.1021,656.723,2296,0.7916666666666667,1785,0
79.0807,31.8668,5320,6.52705,278.608,0.0774,-9999,2284,-7.383333333333333,2106,27.939999999999998
80.1958,31.8743,4398,2.61774,51.438,0.0861,436.401,2296,-0.375,1639,20.57
88.1275,31.8872,4949,6.4236,160.881,0.1646,1039.91,2273,-0.5333333333333333,3378,0
90.4703,31.9003,4681,1.36033,344.427,0.172,1004.19,2461,-0.6666666666666667,4522,0
87.0798,31.9046,4498,0.631935,321.442,0.0938,653.427,2185,1.9,2456,30.252
82.0778,31.9109,4617,7.86437,89.637,0.1213,565.461,2209,-0.4333333333333333,738,29.860000000000003
82.1,31.9323,4702,3.50018,184.219,0.1039,599.597,1998,-0.7666666666666667,673,1.75
79.5039,31.9845,4250,3.71665,189.19,0.0826,-9999,2135,0.21666666666666665,2488,0
79.7391,31.9986,4673,3.054,262.326,0.1992,635.58,2267,-2.808333333333333,1402,0
78.7585,32.0028,6223,1.99146,58.8243,-0.0722,-9999,1704,-14.758333333333335,1855,0
81.864,32.0325,4682,1.49512,20.1707,0.1081,580.843,2236,-1.2666666666666666,574,0
85.7726,32.034,5253,7.24393,182.367,0.1479,613.41,2221,-4.833333333333334,1238,29.2
